Mission_id,Mission_name,Destination,Mission_type,Status,launch_date,duration_days,Agency_id
1,Apollo 7,Low Earth Orbit,Manned,Completed,1968-10-11,4.0,1
2,Apollo 8,Moon,Manned,Completed,1968-12-21,21.0,1
3,Apollo 11,Moon,Manned,Completed,1969-07-16,22.0,1
4,Apollo 12,Moon,Manned,Completed,1969-11-14,23.0,1
5,Apollo 13,Moon,Manned,Failed,1970-04-11,6.0,1
6,Apollo 14,Moon,Manned,Completed,1971-01-31,20.0,1
7,Apollo 15,Moon,Manned,Completed,1971-07-26,8.0,1
8,Apollo 16,Moon,Manned,Completed,1972-04-16,5.0,1
9,Apollo 17,Moon,Manned,Completed,1972-12-07,27.0,1
10,STS-1 Columbia,Low Earth Orbit,Manned,Completed,1981-04-12,3.0,1
11,STS-31 (Hubble Deploy),Low Earth Orbit,Manned,Completed,1990-04-24,5.0,1
12,STS-61 (Hubble Servicing 1),Low Earth Orbit,Manned,Completed,1993-12-02,14.0,1
13,STS-95 Discovery,Low Earth Orbit,Manned,Completed,1998-10-29,7.0,1
14,STS-107 Columbia,Low Earth Orbit,Manned,Failed,2003-01-16,16.0,1
15,ISS Expedition 1,Low Earth Orbit,Space Station,Completed,2000-10-31,3.0,1
16,ISS Expedition 2,Low Earth Orbit,Space Station,Completed,2001-03-08,8.0,1
17,ISS Expedition 26,Low Earth Orbit,Space Station,Completed,2010-11-26,11.0,2
18,ISS Expedition 64,Low Earth Orbit,Space Station,Completed,2020-10-14,10.0,2
19,ISS Expedition 68,Low Earth Orbit,Space Station,Failed,2022-09-21,500.0,3
20,Voyager 1,Interstellar Space,Deep Space Mission,Completed,1977-09-05,4049.0,3
21,Voyager 2,Interstellar Space,Deep Space Mission,Completed,1977-08-20,4484.0,3
22,Pioneer 10,Deep Space,Deep Space Mission,Completed,1972-03-03,4286.0,4
23,Pioneer 11,Deep Space,Deep Space Mission,Completed,1973-04-06,3857.0,4
24,New Horizons,Pluto and Kuiper Belt,Deep Space Mission,Completed,2006-01-19,3014.0,4
25,Juno,Jupiter,Planetary Exploration,Completed,2011-08-05,924.0,4
